🇨🇳丨分享中��?,#genre#
CCTV-15音乐高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd
CCTV-16奥林匹克高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd
CCTV-17农业农村高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd
湖南卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hnwshd
东方卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dfwshd
浙江卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=zjwshd
江苏卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd
湖北卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd
甘肃卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd
吉林卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlwshd
云南卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd
广东卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd
深圳卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd
宁夏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss
湖北卫视,http://61.184.46.85:85/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
湖南卫视,http://61.184.46.85:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
广东卫视,http://61.184.46.85:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
深圳卫视,http://61.184.46.85:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
江苏卫视,http://61.184.46.85:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
安徽卫视,http://61.184.46.85:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
浙江卫视,http://61.184.46.85:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
东方卫视,http://61.184.46.85:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
山东卫视,http://61.184.46.85:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
北京卫视,http://61.184.46.85:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
天津卫视,http://61.184.46.85:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
河南卫视,http://61.184.46.85:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
河北卫视,http://61.184.46.85:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
黑龙江卫��?,http://61.184.46.85:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
重庆卫视,http://61.184.46.85:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
四川卫视,http://61.184.46.85:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
辽宁卫视,http://61.184.46.85:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
海南卫视,http://61.184.46.85:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
东南卫视,http://61.184.46.85:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
风云足球,http://61.184.46.85:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
第一剧场,http://61.184.46.85:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
怀旧剧��?,http://61.184.46.85:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC家庭影院,http://61.184.46.85:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
CHC动作电影,http://61.184.46.85:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
世界地理,http://61.184.46.85:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
金鹰纪实,http://61.184.46.85:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
卡酷少儿,http://61.184.46.85:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
金鹰卡��?,http://61.184.46.85:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信
云课��?,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ymkt
贵州天元围棋,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gztywq

CCTV1综合,http://43.248.117.152:3000/608807420
CCTV2财经,http://43.248.117.152:3000/631780532
CCTV3综艺,http://43.248.117.152:3000/624878271
CCTV4中文国际,http://43.248.117.152:3000/631780421
CCTV5体育,http://43.248.117.152:3000/641886683
CCTV5+体育赛事,http://43.248.117.152:3000/641886773
CCTV6电影,http://43.248.117.152:3000/624878396
CCTV7国防军事,http://43.248.117.152:3000/673168121
CCTV8电视��?,http://43.248.117.152:3000/624878356
CCTV9纪录,http://43.248.117.152:3000/673168140
CCTV10科教,http://43.248.117.152:3000/624878405
CCTV11戏曲,http://43.248.117.152:3000/667987558
CCTV12社会与法,http://43.248.117.152:3000/673168185
CCTV13新闻,http://43.248.117.152:3000/608807423
CCTV14少儿,http://43.248.117.152:3000/624878440
CCTV15音乐,http://43.248.117.152:3000/673168223
CCTV17农业农村,http://43.248.117.152:3000/673168256
CCTV4欧洲,http://43.248.117.152:3000/608807419
CCTV4美洲,http://43.248.117.152:3000/608807416
CGTN外语纪录,http://43.248.117.152:3000/609006487
CGTN阿拉伯语,http://43.248.117.152:3000/609154345
CGTN西班牙语,http://43.248.117.152:3000/609006450
CGTN法语,http://43.248.117.152:3000/609006476
CGTN俄语,http://43.248.117.152:3000/609006446
老故��?,http://43.248.117.152:3000/884121956
发现之旅,http://43.248.117.152:3000/624878970
中学��?,http://43.248.117.152:3000/708869532
CGTN,http://43.248.117.152:3000/609017205

赛事最经典,http://43.248.117.152:3000/646596895
体坛名栏��?,http://43.248.117.152:3000/629943305
四海钓鱼,http://43.248.117.152:3000/637444975
陕西体育休闲频道,http://43.248.117.152:3000/956909356
武术世界,http://43.248.117.152:3000/958475359
快乐垂钓,http://43.248.117.152:3000/961930263
辽宁广播电视台体育休闲频��?,http://43.248.117.152:3000/962067526

东方卫视,http://43.248.117.152:3000/651632648
江苏卫视,http://43.248.117.152:3000/623899368
广东卫视,http://43.248.117.152:3000/608831231
北京卫视,http://43.248.117.152:3000/630287636
辽宁卫视,http://43.248.117.152:3000/630291707
河北卫视,http://43.248.117.152:3000/962042070
江西卫视,http://43.248.117.152:3000/783847495
河南卫视,http://43.248.117.152:3000/790187291
陕西卫视,http://43.248.117.152:3000/738910838
大湾区卫��?,http://43.248.117.152:3000/608917627
湖北卫视,http://43.248.117.152:3000/947472496
吉林卫视,http://43.248.117.152:3000/947472500
青海卫视,http://43.248.117.152:3000/947472506
东南卫视,http://43.248.117.152:3000/849116810
海南卫视,http://43.248.117.152:3000/947472502
海峡卫视,http://43.248.117.152:3000/849119120
中国农林卫视,http://43.248.117.152:3000/956904896
兵团卫视,http://43.248.117.152:3000/956923145
宁夏卫视,http://43.248.117.152:3000/738910535
重庆卫视,http://43.248.117.152:3000/738910914
三沙卫视,http://43.248.117.152:3000/961023778
南京新闻综合频道,http://43.248.117.152:3000/838109047
南京教科频道,http://43.248.117.152:3000/838153729
南京十八频道,http://43.248.117.152:3000/838151753
体育休闲频道,http://43.248.117.152:3000/626064707
江苏城市频道,http://43.248.117.152:3000/626064714
江苏国际,http://43.248.117.152:3000/626064674
江苏教育,http://43.248.117.152:3000/628008321
江苏影视频道,http://43.248.117.152:3000/626064697
江苏综艺频道,http://43.248.117.152:3000/626065193
公共新闻频道,http://43.248.117.152:3000/626064693
盐城新闻综合,http://43.248.117.152:3000/639731825
淮安新闻综合,http://43.248.117.152:3000/639731826
泰州新闻综合,http://43.248.117.152:3000/639731818
连云港新闻综��?,http://43.248.117.152:3000/639731715
宿迁新闻综合,http://43.248.117.152:3000/639731832
徐州新闻综合,http://43.248.117.152:3000/639731747
优漫卡通频��?,http://43.248.117.152:3000/626064703
上海新闻综合,http://43.248.117.152:3000/651632657
上视东方影视,http://43.248.117.152:3000/617290047
上海第一财经,http://43.248.117.152:3000/608780988
江阴新闻综合,http://43.248.117.152:3000/955227979
南通新闻综��?,http://43.248.117.152:3000/955227985
宜兴新闻综合,http://43.248.117.152:3000/955227996
溧水新闻综合,http://43.248.117.152:3000/639737327
陕西银龄频道,http://43.248.117.152:3000/956909362
陕西都市青春频道,http://43.248.117.152:3000/956909358
陕西秦腔频道,http://43.248.117.152:3000/956909303
陕西新闻资讯频道,http://43.248.117.152:3000/956909289
财富天下,http://43.248.117.152:3000/956923159
镇江新闻综合,http://43.248.117.152:3000/639731783
辽宁广播电视台公共频��?,http://43.248.117.152:3000/962045223
辽宁广播电视台生活频��?,http://43.248.117.152:3000/962045226
辽宁广播电视台影视剧频道,http://43.248.117.152:3000/962067517
宁夏广播电视台文旅频��?,http://43.248.117.152:3000/962067523
宁夏广播电视台经济频��?,http://43.248.117.152:3000/962067520
经典深圳旁边电影,http://43.248.117.152:3000/625703337
抗战经典影片,http://43.248.117.152:3000/617432318
新片放映��?,http://43.248.117.152:3000/619495952
CHC影迷电影,http://43.248.117.152:3000/952383261
CHC动作电影,http://43.248.117.152:3000/644368714
CHC家庭影院,http://43.248.117.152:3000/644368373
和美乡途轮播台,http://43.248.117.152:3000/713591450
南方影视,http://43.248.117.152:3000/614961829
中国天气,http://43.248.117.152:3000/959986621
CETV1,http://43.248.117.152:3000/923287154
CETV2,http://43.248.117.152:3000/923287211
CETV4,http://43.248.117.152:3000/923287339
山东教育,http://43.248.117.152:3000/609154353

最强综艺趴,http://43.248.117.152:3000/629942228
嘉佳卡��?,http://43.248.117.152:3000/614952364
经典动画大集��?,http://43.248.117.152:3000/629942219
新动��?,http://43.248.117.152:3000/961930269
新动力量创一��?,http://43.248.117.152:3000/713589837
中华特产,http://43.248.117.152:3000/959986618
环球旅游,http://43.248.117.152:3000/958475356
��?,http://43.248.117.152:3000/961930369

CCTV-1综合,http://114.254.95.53:8888/rtp/239.3.1.129:8008
CCTV-2财经,http://114.254.95.53:8888/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.254.95.53:8888/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.254.95.53:8888/rtp/239.3.1.105:8092
CCTV-5体育,http://114.254.95.53:8888/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.254.95.53:8888/rtp/239.3.1.130:8004
CCTV-6电影,http://114.254.95.53:8888/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.254.95.53:8888/rtp/239.3.1.61:8104
CCTV-8电视��?,http://114.254.95.53:8888/rtp/239.3.1.175:8001
CCTV-9纪录,http://114.254.95.53:8888/rtp/239.3.1.62:8112
CCTV-10科教,http://114.254.95.53:8888/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.254.95.53:8888/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.254.95.53:8888/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.254.95.53:8888/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.254.95.53:8888/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.254.95.53:8888/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.254.95.53:8888/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.254.95.53:8888/rtp/239.3.1.151:8144
湖南卫视,http://114.254.95.53:8888/rtp/239.3.1.132:8012
东方卫视,http://114.254.95.53:8888/rtp/239.3.1.136:8032
浙江卫视,http://114.254.95.53:8888/rtp/239.3.1.137:8036
江苏卫视,http://114.254.95.53:8888/rtp/239.3.1.135:8028
深圳卫视,http://114.254.95.53:8888/rtp/239.3.1.134:8020
广东卫视,http://114.254.95.53:8888/rtp/239.3.1.142:8048
安徽卫视,http://114.254.95.53:8888/rtp/239.3.1.211:8064
天津卫视,http://114.254.95.53:8888/rtp/239.3.1.141:1234
重庆卫视,http://114.254.95.53:8888/rtp/239.3.1.122:8160
山东卫视,http://114.254.95.53:8888/rtp/239.3.1.209:8052
河北卫视,http://114.254.95.53:8888/rtp/239.3.1.148:8072
辽宁卫视,http://114.254.95.53:8888/rtp/239.3.1.210:8056
湖北卫视,http://114.254.95.53:8888/rtp/239.3.1.138:8044
吉林卫视,http://114.254.95.53:8888/rtp/239.3.1.240:8172
贵州卫视,http://114.254.95.53:8888/rtp/239.3.1.149:8076
东南卫视,http://114.254.95.53:8888/rtp/239.3.1.156:8148
江西卫视,http://114.254.95.53:8888/rtp/239.3.1.123:8164
海南卫视,http://114.254.95.53:8888/rtp/239.3.1.45:8304
黑龙江卫��?,http://114.254.95.53:8888/rtp/239.3.1.133:8016
云南卫视,http://114.254.95.53:8888/rtp/239.3.1.26:8108
四川卫视,http://114.254.95.53:8888/rtp/239.3.1.29:8288
宁夏卫视,http://114.254.95.53:8888/rtp/239.3.1.46:8124
山西卫视,http://114.254.95.53:8888/rtp/239.3.1.42:8172
广西卫视,http://114.254.95.53:8888/rtp/239.3.1.39:8300
新疆卫视,http://114.254.95.53:8888/rtp/239.3.1.48:8160
河南卫视,http://114.254.95.53:8888/rtp/239.3.1.27:8128
甘肃卫视,http://114.254.95.53:8888/rtp/239.3.1.49:8188
西藏卫视,http://114.254.95.53:8888/rtp/239.3.1.47:8164
陕西卫视,http://114.254.95.53:8888/rtp/239.3.1.41:8140
青海卫视,http://114.254.95.53:8888/rtp/239.3.1.44:8184
内蒙古卫��?,http://114.254.95.53:8888/rtp/239.3.1.43:8176
三沙卫视,http://114.254.95.53:8888/rtp/239.3.1.155:4120
厦门卫视,http://114.254.95.53:8888/rtp/239.3.1.143:4120
兵团卫视,http://114.254.95.53:8888/rtp/239.3.1.144:4120

🇨🇳｜分享直��?1,#genre#
音乐欣赏,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
又见山里��?,https://vd3.bdstatic.com/mda-qhnnduc8w72ejyjb/sc/cae_h264/1724458110295042483/mda-qhnnduc8w72ejyjb.mp4?pd=19&vt=1
红颜知己,https://vdse.bdstatic.com//252a77dd63cb8fd4130bbc5c8190b4a0.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-11-08T06%3A41%3A34Z%2F-1%2Fhost%2F95ef3c6ccd30ed6cf547063e6d65d82f23a0672414638afd26833d6604027fcf&vid=16956617984407267953
西海情歌,https://vd3.bdstatic.com/mda-njf2y1ydzkkp2naw/sc/cae_h264/1665887374587228332/mda-njf2y1ydzkkp2naw.mp4?pd=19&vt=1
爱是你我,https://vd3.bdstatic.com/mda-qie68n1jizaqdwwp/sc/cae_h264/1726376036444653133/mda-qie68n1jizaqdwwp.mp4?pd=19&vt=1
等你等了那么��?,https://vd3.bdstatic.com/mda-qh69a8xssnud2grk/hd/cae_h264/1723013015183209280/mda-qh69a8xssnud2grk.mp4?pd=19&vt=1
醉酒的蝴��?,https://vd3.bdstatic.com/mda-nc0wcbmfvi6tq2tp/360p/h264_delogo/1646170591789675685/mda-nc0wcbmfvi6tq2tp.mp4?pd=19&vt=1
万爱千恩,http://em.21dtv.com/songs/60171731.mkv
站着等你三千��?,http://em.21dtv.com/songs/60170285.mkv
飘雪,https://vdse.bdstatic.com//185110fe36cdabbe52cb5d42d5d51731.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-01-24T07%3A38%3A23Z%2F-1%2Fhost%2Fe0fa6f3279a2e7ffd702c81350490eafceb100d8cedc995ce3721589163e38b7&vid=9698093003597951199



CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-14,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-15,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-17,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
海南卫视,http://nn.7x9d.cn/地方��?8563/海南.php?id=hnws
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
